,X,Y
0,1.0,10.0
1,1.4545454545454546,10.0
2,1.9090909090909092,10.0
3,2.3636363636363633,10.0
4,2.8181818181818183,10.0
5,3.2727272727272725,10.0
6,3.727272727272727,10.0
7,4.181818181818182,10.0
8,4.636363636363637,10.0
9,5.090909090909091,10.0
10,5.545454545454545,10.0
11,6.0,10.0
12,6.0,9.0
13,6.0,8.0
14,6.0,7.0
15,6.0,6.0
16,6.0,5.0
17,6.0,4.0
18,6.0,3.0
19,6.0,2.0
20,6.0,1.0
21,6.222222222222222,9.222222222222221
22,6.444444444444445,8.444444444444445
23,6.666666666666667,7.666666666666666
24,6.888888888888889,6.888888888888889
25,7.111111111111111,6.111111111111111
26,7.333333333333333,5.333333333333333
27,7.555555555555555,4.555555555555555
28,7.777777777777778,3.7777777777777777
29,8.0,3.0
