,X,Y
0,10.0,3.0
1,9.909090909090908,3.090909090909091
2,9.818181818181818,3.1818181818181817
3,9.727272727272727,3.2727272727272725
4,9.636363636363637,3.3636363636363638
5,9.545454545454545,3.4545454545454546
6,9.454545454545455,3.5454545454545454
7,9.363636363636363,3.6363636363636362
8,9.272727272727273,3.7272727272727275
9,9.181818181818182,3.8181818181818183
10,9.09090909090909,3.909090909090909
11,9.0,4.0
12,8.666666666666666,4.555555555555555
13,8.333333333333334,5.111111111111111
14,8.0,5.666666666666667
15,7.666666666666667,6.222222222222222
16,7.333333333333334,6.777777777777778
17,7.0,7.333333333333334
18,6.666666666666667,7.888888888888889
19,6.333333333333334,8.444444444444445
20,6.0,9.0
21,8.88888888888889,4.444444444444445
22,8.777777777777779,4.888888888888889
23,8.666666666666666,5.333333333333333
24,8.555555555555555,5.777777777777778
25,8.444444444444445,6.222222222222222
26,8.333333333333334,6.666666666666666
27,8.222222222222221,7.111111111111111
28,8.11111111111111,7.555555555555555
29,8.0,8.0
