,X,Y
0,10.0,7.0
1,10.0,7.2727272727272725
2,10.0,7.545454545454545
3,10.0,7.818181818181818
4,10.0,8.09090909090909
5,10.0,8.363636363636363
6,10.0,8.636363636363637
7,10.0,8.90909090909091
8,10.0,9.181818181818182
9,10.0,9.454545454545455
10,10.0,9.727272727272727
11,10.0,10.0
12,9.222222222222221,9.777777777777779
13,8.444444444444445,9.555555555555555
14,7.666666666666666,9.333333333333334
15,6.888888888888889,9.11111111111111
16,6.111111111111111,8.88888888888889
17,5.333333333333333,8.666666666666666
18,4.555555555555555,8.444444444444445
19,3.7777777777777777,8.222222222222221
20,3.0,8.0
21,9.333333333333334,9.777777777777779
22,8.666666666666666,9.555555555555555
23,8.0,9.333333333333334
24,7.333333333333334,9.11111111111111
25,6.666666666666667,8.88888888888889
26,6.0,8.666666666666666
27,5.333333333333334,8.444444444444445
28,4.666666666666667,8.222222222222221
29,4.0,8.0
